LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Ext.Price,Product Link
C32565,EL3H7(B)(TA)-G,Everlight Elec,SSOP-4-1.27mm,,"80V 3.75kV 50mA 100mV@1mA,10mA 1 6V 1.2V DC SSOP-4-1.27mm  Transistor Output Optocoupler ROHS",yes,20,5,$0.06 ,$1.18 ,https://assets.lcsc.com/images/lcsc/96x96/20221229_Everlight-Elec-EL3H7-B-TA-G_C32565_front.jpg
C158012,B2B-XH-A(LF)(SN),JST,"Plugin,P=2.5mm",,"1x2P 2P XH 1 2.5mm 2 Brass Plugin,P=2.5mm  Wire To Board Connector ROHS",yes,40,20,$0.03 ,$1.31 ,https://assets.lcsc.com/images/lcsc/96x96/20180914_JST-B2B-XH-A-LF-SN_C158012_front_10.jpg
C700953,AO3400A,HUASHUO,SOT-23,,"30V 5.2A 35mΩ@10V,5A 1W 1.5V@250uA N Channel SOT-23  MOSFETs ROHS",yes,10,10,$0.03 ,$0.31 ,https://assets.lcsc.com/images/lcsc/96x96/20230216_HUASHUO-AO3400A_C700953_front.jpg
C5380686,AO3401A,FUXINSEMI,SOT-23,,"30V 4.2A 65mΩ@10V,4.2A 350mW 30V@250uA P Channel SOT-23  MOSFETs ROHS",yes,20,20,$0.03 ,$0.62 ,https://assets.lcsc.com/images/lcsc/96x96/20230403_FUXINSEMI-AO3401A_C5380686_front.jpg
C18212698,AMS1117-3.3,TECH PUBLIC,SOT-223,, SOT-223  Linear Voltage Regulators (LDO) ROHS,yes,10,10,$0.03 ,$0.35 ,https://assets.lcsc.com/images/lcsc/96x96/20231223_TECH-PUBLIC-AMS1117-3-3_C18212698_front.jpg
C35449,SRD-05VDC-SL-C,Ningbo Songle Relay,"Plugin,15.6x19.2mm",,"250V@AC 5V 15A SPDT (1 Form C) Plugin,15.6x19.2mm  Power Relays ROHS",yes,5,5,$0.33 ,$1.67 ,https://assets.lcsc.com/images/lcsc/96x96/20190525_Ningbo-Songle-Relay-SRD-05VDC-SL-C_C35449_front.jpg
C144394,B3B-XH-A(LF)(SN),JST,"Plugin,P=2.5mm",,"1x3P 3P XH 1 2.5mm 3 Brass Plugin,P=2.5mm  Wire To Board Connector ROHS",yes,10,10,$0.04 ,$0.37 ,https://assets.lcsc.com/images/lcsc/96x96/20180926_JST-B3B-XH-A-LF-SN_C144394_front.jpg
C160254,B7B-EH-A(LF)(SN),JST,"Plugin,P=2.5mm",,"1x7P 7P EH 1 2.5mm 7 Brass Plugin,P=2.5mm  Wire To Board Connector ROHS",yes,5,5,$0.07 ,$0.37 ,https://assets.lcsc.com/images/lcsc/96x96/20180914_JST-B7B-EH-A-LF-SN_C160254_front.jpg
C49678,CC0805KRX7R9BB104,YAGEO,805,,50V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,$0.00 ,$0.41 ,https://assets.lcsc.com/images/lcsc/96x96/20221230_YAGEO-CC0805KRX7R9BB104_C49678_front.jpg
C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,805,,25V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,$0.01 ,$0.49 ,https://assets.lcsc.com/images/lcsc/96x96/20180914_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850_front_10.jpg
C84256,NCD0805R1,Foshan NationStar Optoelectronics,805,,20mA 无色透明透镜 67mcd~195mcd -30℃~+85℃ 615nm~630nm 独立二极管 Red 130° 65mW 1.6V~2.6V 0805  Light Emitting Diodes (LED) ROHS,yes,60,20,$0.01 ,$0.72 ,https://assets.lcsc.com/images/lcsc/96x96/20221231_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256_front.jpg
